subject,exam_name,paper_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,unique_question_id,question_type
Archaeology,Question Papers of NET Dec. 2012,Paper III,11,कायथा पुरास्थल किस नदी पर स्थित है ?,बनास नदी,बेतवा नदी,केन नदी,छोटी काली सिन्ध नदी,D,ARC_e403e288,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,12,प्राचीन नगर श्रावस्ती का विन्यास था,वृत्ताकार,अर्द्धचन्द्राकार,त्रिभुजाकार,चतुर्भुजाकार,B,ARC_93d89dc0,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,13,"निम्नलिखित में से कौन ""दि रूट्स ऑफ एन्सियन्ट इण्डिया’ का लेखक है ?",स्टुअर्ट पिगट,"वाल्टर फेयरसर्विस, जूनियर",वी.जी. चाइल्ड,ए. घोष,B,ARC_4d90292e,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,15,एहोल अभिलेख की रचना की थी :,हरिषेण ने,रविकीर्ति ने,कालिदास ने,वाण ने,B,ARC_76a4490c,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,16,निम्नलिखित अभिलेखों में से किसमें भारत में शून्य का प्राचीनतम संदर्भ प्राप्त होता है ?,आदित्यसेन के अफसढ़ अभिलेख,मिहिरभोज का ग्वालियर अभिलेख,गौतमीपुत्र शातकर्णि का नासिक अभिलेख,खारवेल का हाथीगुम्फा अभिलेख,B,ARC_704b388d,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,17,बिहार में दीदारगंज प्राचीन पुरास्थल किस पाषाण प्रतिमा के लिये प्रसिद्ध है ?,यक्षी,यक्ष,शिव,हाथी,A,ARC_a8a4847f,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,18,निम्नलिखित में से किस पत्थर का प्रयोग पल्लवों ने मंदिरों के निर्माण में किया ?,बलुआ पत्थर,ग्रेनाइट,शिष्ट,बसाल्ट,B,ARC_8d57eccb,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,19,मानवीय रूप में बुद्ध की प्रतिमा का सर्वप्रथम अंकन प्राप्त होता है :,कुजुल-कडफिसज के स्वर्ण मुद्राओं पर,हुविस्क की मुद्राओं पर,वाशिष्क की मुद्राओं पर,कनिष्क प्रथम की मुद्राओं पर,D,ARC_a55bebef,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,20,राजा को तीन गोल वस्तुयें प्रदान करते हुए भगवान विष्णु का अंकन प्राप्त होता है :,समुद्रगुप्त की व्याघ्रनिहत्ता प्रकार की मुद्रायें,समुद्रगुप्त की ध्वज प्रकार की मुद्रायें,चक्रविक्रम प्रकार की मुद्रायें,अश्वमेध प्रकार की मुद्रायें,C,ARC_74d4e190,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,21,निम्नलिखित में से कौन सी निरपेक्ष तिथि-विधियां है ? I. रेडियोकार्बन II. फ्लोरीन III. पोटैशियम-आर्गन IV. युरेनियम सीरिज कूट :,"I, II एवं III","I, II एवं IV","I, III एवं IV","I, II, III एवं IV",C,ARC_cb5d3967,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,22,अश्यूलियन तकनीकी-समूह के अंतर्गत आते हैं : I. हैण्डेक्स II. क्लीवर III. कोर उपकरण IV. स्क्रैपर कूट :,I और II,II और IV,II और III,"I,II और IV",A,ARC_b4ad6d47,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,23,शारीरिक संरचना की दृष्टि से आधुनिक मानव का अफ्रीका से प्रसरण निम्नलिखित किन मार्गों से हुआ ? I. उत्तरी मार्ग II. दक्षिणी समुद्रतटीय मार्ग III. समुद्रीय मार्ग से IV. समुद्रतटीय और स्थल मार्गों से कूट :,I एवं II,II एवं III,III एवं IV,IV एवं I,B,ARC_a4c79c85,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,24,भारत में निम्नलिखित में से कौन से दो उत्खनित पुरास्थल है ? I. चिरकी-नेवासा II. पल्लवरम III. हुणसगी-ईशमपुर IV. मोरहना पहाड़ कूट :,I और II,II और III,I और III,I और IV,C,ARC_ccffd5a1,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,25,निम्नलिखित में से कौन से ताम्रपाषाणिक पुरास्थल नहीं हैं ? I. इनामगाँव II. संगन कल्लू III. पयसरा IV. सराय नाहर राय कूट :,"II, III और IV","I, II और III","III, IV और I","I, III और IV",A,ARC_f47518a9,Identify the Incorrect Statement
Archaeology,Question Papers of NET Dec. 2012,Paper III,26,निम्नलिखित में से कौन से नवपाषाण स्थल 6-7 सहस्त्राब्दी ई.पूर्व के हैं ? I. महगढ़ा II. लहुरादेवा III. झुसी IV. चिरान्द कूट :,I और II,II और III,III और IV,I और IV,B,ARC_f1da64df,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,27,निम्नलिखित पुरास्थलों में से कहाँ आहाड़ संस्कृति विद्यमान हैं ? I. गिलुण्ड II. नवदाटोली III. कायथा IV. नोह कूट :,I और II,III और II,I और III,II और IV,C,ARC_d8b771bc,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,28,निम्नलिखित धातुओं में से आहत मुद्राऐं किस धातु से निर्मित हैं ? I. ताम्र     II. रजत III. कास्य IV. लौह कूट :,II और IV,I और II,II और III,I और IV,B,ARC_c1236b82,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,29,निम्नलिखित अभिलेखों में से कौन सुदर्शन झील को संदर्भित करते हैं ? I. अशोक का तेरहवां शिलालेख II. रुद्रदामन का जूनागढ़ अभिलेख III. स्कन्दगुप्त का गिरनार अभिलेख IV. समुद्रगुप्त की इलाहाबाद प्रशस्ति कूट :,I एवं II,I एवं IV,II एवं III,III एवं IV,C,ARC_c8c9239e,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,30,निम्नलिखित में से कौन से पुरास्थल पूर्वी उत्तर प्रदेश में लौह तकनीक का प्रमाण प्रस्तुत करते हैं ? I. राजघाट      II. पैसरा III. अगियाबीर IV. नरहन कूट :,I और II,"I, II और III","I, II, III और IV","I,III और IV",D,ARC_41f3b295,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,31,कौशाम्बी के घोषिताराम विहार से निम्नलिखित में से कौन सी मृण्मूर्तियाँ प्राप्त हुई हैं ? I. हारीति.      II. तारा III. गजलक्ष्मी IV. मैत्रेय कूट :,I और II,I और III,II और III,II और IV,B,ARC_82f3a0ce,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,32,निम्नलिखित में से कौन अवन्ती राज्य की राजधानियां थी ? I. माहिष्मती II. विदिशा III. उज्जैनी  IV. त्रिपुरी कूट:,I और II,II और III,I और III,I और IV,C,ARC_dfdf17d2,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,33,निम्नलिखित में से किन पर उज्जैनी प्रतीक प्राप्त होते हैं ? I. पांचाल मुद्रायें II. आहत मुद्रायें III. ताम्र की ढलुआ मुद्रायें IV. नाग मुद्रायें कूट :,II और IV,I और II,I और III,II और III,D,ARC_e0eb9c96,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,34,स्थापना (A) : भारत ने मानव विकास के अध्ययन के लिये जीवाश्मीय प्रमाण नहीं प्रस्तुत किया है । कारण (R) : भारत में सुनिश्चित तिथि वाले होमिनिड (मानवसम प्राणी) के पुरास्थल नहीं हैं। कूट :,(A) और (R) दोनों गलत हैं ।,"(A) और (R) दोनों सही हैं, लेकिन (R) सही व्याख्या नहीं है।","(A) गलत है (R) सही है, लेकिन (R) सही व्याख्या नहीं है।","(A) और (R) दोनों सही हैं, और (R) सही व्याख्या है।",B,ARC_7ce48bf0,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,35,स्थापना (A) : कृषि और पशुपालन का प्रारम्भ एक ही बार घटित हुआ और दक्षिण- पश्चिम एशिया से विश्व के अन्य भागों में फैला । कारण (R) : सभी पालतू धान्य और पशु दक्षिण- पश्चिम एशिया में देशज हैं। कूट :,(A) और (R) दोनों सही हैं और (R) सही व्याख्या है।,"(A) और (R) दोनों गलत हैं, (R) गलत व्याख्या है।","(A) और (R) दोनों गलत हैं, (R) सही व्याख्या है ।",(A) सही है लेकिन (R) गलत है ।,B,ARC_60fa1f7b,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,37,स्थापना (A) : हड़प्पनों का मेसोपोटामिया से व्यापारिक सम्बन्ध था । कारण (R) : सारगन अभिलेख में सिन्धु घाटी का संदर्भ मेलूहा के रूप में मिलता है । कूट :,(A) गलत है (R) सही है और (R) सही व्याख्या है।,(A) सही है (R) गलत है लेकिन (R) सही व्याख्या है।,(A) और (R) दोनों सही हैं लेकिन (R) गलत व्याख्या है।,(A) और (R) दोनों गलत हैं ।,C,ARC_f6cc10b8,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,38,स्थापना (A) : सिन्धु घाटी सभ्यता में लोग नगर निर्माण नहीं करते थे। कारण (R) : उनके पास संसाधन नहीं थे । कूट :,"(A) सही है (R) गलत है, लेकिन (R) सही व्याख्या है।","(A) गलत है (R) सही है, लेकिन (R) गलत व्याख्या है।",(A) और (R) दोनों सही हैं और (R) सही व्याख्या है।,(A) और (R) दोनों गलत हैं ।,D,ARC_a7155d28,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,39,स्थापना (A) : दक्षिण भारत के बहुत से प्रारम्भिक ऐतिहासिक पुरास्थलों से रोमन मुद्रायें प्राप्त हुई हैं। कारण (R) : दक्षिण भारत के प्रारम्भिक ऐतिहासिक शासकों ने रोमन जगत से उत्कृष्ट व्यापार बनाये रखा । कूट :,"(A) सही है (R) गलत है, लेकिन (R) सही व्याख्या है।",(A) गलत है और (R) सही है और (R) सही व्याख्या नहीं है।,(A) और (R) दोनों सही हैं और (R) सही व्याख्या है।,(A) और (R) दोनों गलत हैं।,C,ARC_c91edc78,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,40,स्थापना (A) : सांची स्तूप में शालभंजिका का एक आकर्षक अंकन है। कारण (R) : वह प्रजनन देवताराधन का प्रतिनिधित्व करती है । कूट :,"(A) सही है (R) गलत है, लेकिन (R) सही व्याख्या है ।",(A) गलत है (R) सही है और (R) सही व्याख्या है।,"(A) और (R) दोनों सही हैं, लेकिन (R) गलत व्याख्या है ।",(A) और (R) दोनों गलत हैं ।,C,ARC_559e492e,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,41,स्थापना (A) : अजन्ता में तीस शैलोत्कीर्ण गुफायें हैं । कारण (R) : अजन्ता में चैत्य गृह नहीं है । कूट :,"(A) गलत है (R) सही है, और (R) सही व्याख्या है।",(A) और (R) दोनों गलत हैं ।,"(A) और (R) दोनों सही हैं, लेकिन (R) सही व्याख्या नहीं है ।","(A) सही है (R) गलत है, और (R) सही व्याख्या नहीं है।",D,ARC_a86b75ec,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,42,स्थापना (A) : कुमारगुप्त प्रथम के पश्चात् स्वर्ण मुद्रायें कम होने लगीं । कारण (R) : भारत में स्वर्ण प्रभूत मात्रा में उपलब्ध नहीं था । कूट,(A) सही है (R) गलत है ।,"(A) गलत है (R) सही है, लेकिन (R) गलत व्याख्या है।","(A) और (R) दोनों सही हैं, लेकिन (R) गलत व्याख्या है ।",(A) और (R) दोनों गलत हैं ।,A,ARC_8be7a320,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,43,स्थापना (A) : गुप्तों ने केवल संरचनात्मक मन्दिरों का निर्माण किया । कारण (R) : क्योंकि वे लौह तकनीक से परिचित नहीं थे। कूट :,"(A) सही है (R) गलत है, लेकिन (R) सही व्याख्या है।",(A) गलत है (R) सही है और (R) सही व्याख्या है।,(A) और (R) दोनों सही हैं और (R) सही व्याख्या है।,(A) और (R) दोनों गलत हैं ।,D,ARC_ad01bcd7,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,44,स्थापना (A) : गुप्तकाल में हिन्दू मूर्तिशास्त्र के नियम पूर्णतः विकसित थे । कारण (R) : गुप्तकाल में सभी शास्त्रीय साहित्य लेखन के प्रति समर्पित थे । कूट :,"(A) और (R) सही हैं, लेकिन (R) गलत व्याख्या है।","(A) सही है, (R) गलत है, लेकिन (R) सही व्याख्या है।",(A) और (R) गलत हैं ।,"(A) गलत है (R) सही है, लेकिन (R) सही व्याख्या है।",A,ARC_74f9f7bf,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,45,स्थापना (A) : राष्ट्रकूटों ने एलिफैन्टा की गुफाओं का निर्माण कराया । कारण (R) : यह क्षेत्र राष्ट्रकूट शासन के अन्तर्गत था । कूट :,(A) और (R) दोनों गलत हैं।,(A) और (R) दोनों सही हैं और (R) सही व्याख्या है।,"(A) सही है (R) गलत है, लेकिन (R) सही व्याख्या है।","(A) गलत है (R) सही है, लेकिन (R) गलत व्याख्या है।",B,ARC_7879f970,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,46,स्थापना (A) : गुप्त ताम्र पत्र का महान ऐतिहासिक महत्त्व इस तथ्य में निहित है कि उनमें दानदाता का नाम मिलता है। कारण (R) : दूसरे अभिलेखों में दानदाता का नाम और उसकी वंशावली उपलब्ध नहीं है। कूट :,"(A) सही है (R) गलत है, लेकिन (R) सही व्याख्या है ।","(A) गलत है (R) सही है, लेकिन (R) गलत व्याख्या है।",(A) और (R) दोनों गलत हैं।,"(A) और (R) दोनों सही हैं, लेकिन (R) गलत व्याख्या है ।",C,ARC_93ed0349,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,47,"स्थापना (A) : संगठन से सम्बन्धित तमिल अभिलेख, जो चित्रमलिप्परियनत्तवार के नाम से जाना जाता था, का उत्कीर्णन एक लघु ताम्र हल पर मिलता है । कारण (R) : दक्षिण भारत में लोहा उपलब्ध नहीं था । कूट :","(A) गलत है (R) सही है, लेकिन (R) सही व्याख्या नहीं है।","(A) सही है (R) गलत है, लेकिन (R) गलत व्याख्या है ।","(A) और (R) दोनों सही हैं, (R) गलत व्याख्या है।",(A) और (R) दोनों गलत हैं।,B,ARC_8a511559,Assertion and Reason
Archaeology,Question Papers of NET Dec. 2012,Paper III,48,निम्नलिखित को कालक्रमानुसार लिखिये : I. गहन कृषि II. प्रारम्भिक कृषि III. गहन फोराजिंग (भोजन की तलाश में भ्रमण) IV. गहन शिकार कूट :,"II, IV, I, III","I, II, III, IV","IV, III, II, I","IV, II, III, I",C,ARC_0349bd81,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,49,निम्नलिखित पुस्तकों को क्रमानुसार लिखिये : I. प्री एण्ड प्रोटोहिस्ट्री इन इण्डिया एण्ड पाकिस्तान II. प्री एण्ड प्रोटोहिस्ट्री ऑफ इण्डिया एण्ड पाकिस्तान III. बोर्न फार आर्क्योलोजी IV. प्रीहिस्ट्री ऑफ इण्डिया कूट :,"I, II, III, IV","I, II, IV, III","I, IV, III, II","I, III, II, IV",B,ARC_5a144aff,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,50,निम्नलिखित स्थलों को कालक्रमानुसार लिखिये : I. आरिकामेडू II. ब्रह्मागिरि III. महाबलिपुरम IV. वेलूर कूट :,"II, I, III, IV","IV, II, I, III","III, IV, II, I","II, III, I, IV",A,ARC_26c5cf32,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,51,निम्नलिखित को कालक्रमानुसार लिखिये : I. रूम्मिनदई स्तम्भ II. हेलियोडोरस स्तम्भ III. मैहरोली का लौह स्तम्भ IV. साँची का सिंहस्थ स्तम्भ कूट :,"I, IV, II, III","I, II, III, IV","IV, III, II, I","II, III, IV, I",A,ARC_fde05f4b,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,52,निम्नलिखित पात्र परम्पराओं को कालक्रमानुसार लिखिये : I. चित्रित कृष्ण एवं लोहित पात्र परम्परा एवं चित्रित कृष्ण लेपित चिकना पात्र परम्परा II. उत्तरी कृष्ण परिमार्जित पात्र परम्परा III. चित्रित धूसर पात्र परम्परा IV. हस्त निर्मित डोरी छाप पात्र परम्परा कूट :,"I, II, III, IV","IV, III, II, I","IV, I, III, II","III, II, I, IV",C,ARC_8b679df1,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,53,निम्नलिखित में से किन राजाओं के नाम जूनागढ़ अभिलेख में मिलते हैं ? I. रूद्रदामन प्रथम II. स्कन्दगुप्त III. रामगुप्त IV. समुद्रगुप्त कूट,I और IV,IV और II,I और II,II और III,C,ARC_6e2f7fae,Normal MCQ
Archaeology,Question Papers of NET Dec. 2012,Paper III,54,निम्नलिखित मंदिरों को कालक्रमानुसार लिखिये :  I. भुवनेश्वर का लिगराज मंदिर II. उदयगिरि की वराह गुफा III. महाबलिपुरम का समुद्रतटीय मंदिर IV. एलोरा का कैलाशनाथ मंदिर कूट :,"IV, II, I, III","II, III, IV, I","III, IV, I, II","II, I, III, IV",B,ARC_ff7018e6,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,55,झूसी का स्तरीकरण की दृष्टि से सांस्कृतिक अनुक्रम बताइये । I. नवपाषाणिक II. प्रारम्भिक लौह युग III. ताम्रपाषाणिक IV. पूर्व मध्यकाल कूट:,"I, II, III, IV","I, III, II, IV","II, III, I, IV","IV, III, II, I",B,ARC_eb721621,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,56,मंदिर के निम्नलिखित ऊर्ध्वाधर भागो को नीचे से ऊपर की ओर व्यवस्थित कीजिये : I. जंघा II. कलश III. अधिष्ठान IV. शिखर कूट,"I, III, IV, II","II, IV, I, III","III, I, IV, II","IV, II, I, III",C,ARC_e8ae2e91,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,57,निम्नलिखित को क्रमानुसार लिखिये : I. पुलकेशियन द्वितीय का ऐहोले अभिलेख II. प्रभावती गुप्ता का पूना ताम्रपत्र III. राधनपुर अभिलेख IV. कुमारगुप्त प्रथम का कर्मदण्डा अभिलेख कूट :,"I, II, III, IV","II, IV, I, III","III, II, I, IV","IV, II, I, III",B,ARC_b191fd2b,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,58,निम्नलिखित को कालक्रमानुसार लिखिये : I. हाथीगुम्फा II. इलाहाबाद स्तम्भ III. रुद्रदामन का जूनागढ़ प्रस्तर अभिलेख IV. वेसनगर का गरुड़ स्तम्भ कूट,"I, III, II, IV","I, IV, III, II","III, IV, I, II","I, II, IV, III",B,ARC_f6d0de3b,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,59,निम्नलिखित मन्दिर समूहों को कालक्रमानुसार लिखिये : I. हम्पी - विजयनगर II. बेलर - हलेविड III. ऐहोले - पट्टड़कल IV. महाबलिपुरम कूट :,"IV, III, II, I","III, IV, II, I","I, II, III, IV","IV, III, I, II",B,ARC_26a7fb88,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,60,"निम्नलिखित को कालक्रमानुसार व्यवस्थित कीजिए : I. महाबोधि, बोध गया II. सूर्य मन्दिर, मोधेरा III. दसावतार, देवगढ़ IV. लिंगराज, भुवनेश्वर कूट :","I, II, IV, III","III, I, II, IV","III, IV, I, II","I, III, IV, II",B,ARC_6b8c084b,Sequence / Ordering
Archaeology,Question Papers of NET Dec. 2012,Paper III,61,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                                   सूची-II a. आस्ट्रालोपिथेक्स अफ्रेन्सिस     i. ए. सोनकिया b. आस्ट्रालोपिथेक्स अफ्रिकनस    ii. डी. जान्सन c. टौंग बेबी                        iii. एल.एस.बी. लीकी d. हथनोरा                            iv. रेमण्ड डार्ट कूट : a b c d,i iii ii iv,ii iii iv i,iv ii iii i,ii iii i iv,B,ARC_2c130af7,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,62,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                             सूची-II a. मरुद्यान सिद्धांत             i. आर.ई.एम. व्हीलर b. आर्य आक्रमण सिद्धांत     ii. आदिचनल्लूर c. प्रजातियों का उद्भव         iii. वी. गार्डन चाइल्ड d. अर्न फिल्ड्स                  iv. चार्ल्स डारविन कूट : a b c d,iii i iv ii,iv i ii iii,iii ii iv i,i ii iv iii,A,ARC_8b7763ca,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,63,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I.                    सूची-II a. टेरा आम्टा            i. चीन b. कैटाल हुयुक         ii. उजबेकिस्तान c. झाउकाउडिन        iii. फ्रान्स d. टाशिक-टाश         iv. टर्की कूट : a b c d,iii iv i ii,iii ii i iv,ii iii iv,i ii iii iv,A,ARC_bcf18d7c,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,64,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                      सूची-II a. पयसरा                  i. ताम्रपाषाणिक b. संगलकल्लू             ii. अश्यूलियन c. सराय नाहर राय       iii. नव पाषाणिक d. गिलुण्ड                 iv. मध्य पाषाणिक कूट : a b c d,i iv ii iii,ii iii iv i,i iv iii ii,ii iv iii i,B,ARC_89755801,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,65,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                          सूची-II a. नेवासा (नेवासियन)       i. ताम्र पाषाणिक b. बुर्जहोम                     ii. बृहद् पाषाणिक c. कायथा                      iii. पूर्व पाषाणिक d. कुमारनहल्ली               iv. नव पाषाणिक कूट : a b c d,ii iii i iv,iii iv i ii,iv ii iii i,i iii ii iv,B,ARC_2106b667,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,66,सूची-I की मदों को सूची-II से सुमेलित कीजिए : सूची-I                      सूची-II a. दि सिटी इन अर्ली     i. एच.डी. सांकलिया हिस्टोरिक इण्डिया b. लोथल एण्ड दि        ii  ए  घोष इण्डस सिविलाइजेशन c. दि इण्डस एज           iii. एस.आर. राव d. इण्डियन आर्क्योलॉजी iv. जी.एल. पोशेल टुडे कूट : a b c d,iii ii iv i,iv iii ii i,ii iii iv i,ii iv iii i,C,ARC_b369a90e,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,67,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                         सूची-II a. दि बर्थ आफ इण्डियन i. एस.के. चक्रवर्ती   सिविलाइजेशन b. रामायण : ए मिथ      ii. बी. सुब्बाराव आर रियल्टी c. दि पर्सनालिटी आफ   iii. एच.डी. सांकलिया इण्डिया d. एन्सियन्ट इण्डियन iv. बी.और आर. एलचिन न्यूमिसमेटिक्स कूट : a b c d,iv iii ii i,ii iv i iii,i iii iv ii,ii iii i iv,A,ARC_a18d4f27,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,68,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                  सूची-II a. कालीबंगा            i. अन्नागार b. मोहनजोदड़ो.        ii. पकी मिट्टी का हल c. हड़प्पा                iii. नर्तकी d. वाणावली            iv. जुता हुआ खेत कूट : a b  c d,i ii iii iv,iv iii i ii,iii ii iv i,iv iii ii i,B,ARC_2e6e2b45,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,69,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                      सूची-II a. बी.बी. लाल        i. कौशाम्बी b. आर.सी.गौड़       ii. अरिकामेडु c. जी.आर.शर्मा      iii. हस्तिनापुर d. आर.ई.एम. व्हीलर iv. अतरंजी खेड़ा कूट : a b c d,iv iii ii i,iii iv i ii,i iii ii iv,ii i iv iii,B,ARC_f0d1c5df,Match the List
Archaeology,Question Papers of NET Dec. 2012,Paper III,70,सूची-I के मदों को सूची-II के मदों से सुमेलित कीजिए : सूची-I                           सूची-II a. हलमिडी अभिलेख        i. वाकाटक b. पूना ताम्रपत्र अभिलेख   ii. कदम्ब c. ऐहोल अभिलेख           iii. सातवाहन d. नानाघाट अभिलेख        iv. चालुक्य कूट : a b c d,ii i iv iii,ii iv i iii,iv ii i iii,i ii iv iii,A,ARC_ef507096,Match the List
